C.1	B.1.1.1.1
AB.1	B.1.160.16.1
AA.1	B.1.177.15.1
AA.2	B.1.177.15.2
AA.3	B.1.177.15.3
AA.4	B.1.177.15.4
AA.5	B.1.177.15.5
AA.6	B.1.177.15.6
AA.7	B.1.177.15.7
AA.8	B.1.177.15.8
Z.1	B.1.177.50.1
Y.1	B.1.177.52.1
W.1	B.1.177.53.1
W.2	B.1.177.53.2
W.3	B.1.177.53.3
W.4	B.1.177.53.4
V.1	B.1.177.54.1
V.2	B.1.177.54.2
U.1	B.1.177.60.1
U.2	B.1.177.60.2
U.3	B.1.177.60.3
G.1	B.1.258.2.1
AU.1	B.1.466.2.1
AU.2	B.1.466.2.2
AU.3	B.1.466.2.3
AY.1	B.1.617.2.1
AY.2	B.1.617.2.2
AY.3	B.1.617.2.3
AY.3.1	B.1.617.2.3.1
AY.4	B.1.617.2.4
AY.4.1	B.1.617.2.4.1
AY.4.2	B.1.617.2.4.2
AY.4.3	B.1.617.2.4.3
AY.4.4	B.1.617.2.4.4
AY.4.5	B.1.617.2.4.5
AY.5	B.1.617.2.5
AY.5.1	B.1.617.2.5.1
AY.5.2	B.1.617.2.5.2
AY.5.3	B.1.617.2.5.3
AY.5.4	B.1.617.2.5.4
AY.6	B.1.617.2.6
AY.7	B.1.617.2.7
AY.7.1	B.1.617.2.7.1
AY.7.2	B.1.617.2.7.2
AY.8	B.1.617.2.8
AY.9	B.1.617.2.9
AY.9.1	B.1.617.2.9.1
AY.9.2	B.1.617.2.9.2
AY.9.2.1	B.1.617.2.9.2.1
AY.10	B.1.617.2.10
AY.11	B.1.617.2.11
AY.12	B.1.617.2.12
AY.13	B.1.617.2.13
AY.14	B.1.617.2.14
AY.15	B.1.617.2.15
AY.16	B.1.617.2.16
AY.16.1	B.1.617.2.16.1
AY.17	B.1.617.2.17
AY.18	B.1.617.2.18
AY.19	B.1.617.2.19
AY.20	B.1.617.2.20
AY.21	B.1.617.2.21
AY.22	B.1.617.2.22
AY.23	B.1.617.2.23
AY.23.1	B.1.617.2.23.1
AY.24	B.1.617.2.24
AY.25	B.1.617.2.25
AY.26	B.1.617.2.26
AY.27	B.1.617.2.27
AY.28	B.1.617.2.28
AY.29	B.1.617.2.29
AY.29.1	B.1.617.2.29.1
AY.30	B.1.617.2.30
AY.31	B.1.617.2.31
AY.32	B.1.617.2.32
AY.33	B.1.617.2.33
AY.34	B.1.617.2.34
AY.34.1	B.1.617.2.34.1
AY.35	B.1.617.2.35
AY.36	B.1.617.2.36
AY.37	B.1.617.2.37
AY.38	B.1.617.2.38
AY.39	B.1.617.2.39
AY.39.1	B.1.617.2.39.1
AY.39.1.1	B.1.617.2.39.1.1
AY.39.2	B.1.617.2.39.2
AY.40	B.1.617.2.40
AY.41	B.1.617.2.41
AY.42	B.1.617.2.42
AY.43	B.1.617.2.43
AY.44	B.1.617.2.44
AY.45	B.1.617.2.45
AY.46	B.1.617.2.46
AY.46.1	B.1.617.2.46.1
AY.46.2	B.1.617.2.46.2
AY.46.3	B.1.617.2.46.3
AY.46.4	B.1.617.2.46.4
AY.46.5	B.1.617.2.46.5
AY.46.6	B.1.617.2.46.6
AY.47	B.1.617.2.47
AY.48	B.1.617.2.48
AY.49	B.1.617.2.49
AY.50	B.1.617.2.50
AY.51	B.1.617.2.51
AY.52	B.1.617.2.52
AY.53	B.1.617.2.53
AY.54	B.1.617.2.54
AY.55	B.1.617.2.55
AY.56	B.1.617.2.56
AY.57	B.1.617.2.57
AY.58	B.1.617.2.58
AY.59	B.1.617.2.59
AY.60	B.1.617.2.60
AY.61	B.1.617.2.61
AY.62	B.1.617.2.62
AY.63	B.1.617.2.63
AY.64	B.1.617.2.64
AY.65	B.1.617.2.65
AY.66	B.1.617.2.66
AY.67	B.1.617.2.67
AY.68	B.1.617.2.68
AY.69	B.1.617.2.69
AY.70	B.1.617.2.70
AY.71	B.1.617.2.71
AY.72	B.1.617.2.72
AY.73	B.1.617.2.73
AY.74	B.1.617.2.74
AY.75	B.1.617.2.75
AY.75.1	B.1.617.2.75.1
AY.76	B.1.617.2.76
AY.77	B.1.617.2.77
AY.78	B.1.617.2.78
AY.79	B.1.617.2.79
AY.80	B.1.617.2.80
AY.81	B.1.617.2.81
AY.82	B.1.617.2.82
AY.83	B.1.617.2.83
AY.84	B.1.617.2.84
AY.85	B.1.617.2.85
AY.86	B.1.617.2.86
AY.87	B.1.617.2.87
AY.88	B.1.617.2.88
AY.89	B.1.617.2.89
AY.90	B.1.617.2.90
AY.91	B.1.617.2.91
AY.91.1	B.1.617.2.91.1
AY.92	B.1.617.2.92
AY.93	B.1.617.2.93
AY.94	B.1.617.2.94
AY.95	B.1.617.2.95
AY.96	B.1.617.2.96
AY.97	B.1.617.2.97
AY.98	B.1.617.2.98
AY.98.1	B.1.617.2.98.1
AY.99	B.1.617.2.99
AY.99.1	B.1.617.2.99.1
AY.99.2	B.1.617.2.99.2
AY.100	B.1.617.2.100
AY.101	B.1.617.2.101
AY.102	B.1.617.2.102
AY.103	B.1.617.2.103
AY.104	B.1.617.2.104
AY.105	B.1.617.2.105
AY.106	B.1.617.2.106
AY.107	B.1.617.2.107
AY.108	B.1.617.2.108
AY.109	B.1.617.2.109
AY.110	B.1.617.2.110
AY.111	B.1.617.2.111
AY.112	B.1.617.2.112
AY.113	B.1.617.2.113
AY.114	B.1.617.2.114
AY.115	B.1.617.2.115
AY.116	B.1.617.2.116
AY.116.1	B.1.617.2.116.1
AY.117	B.1.617.2.117
